CorrVar1,CorrVar2,Value
patient_addmited_to_semi_intensive_unit_1_yes_0_no,ionized_calcium,0.07459
patient_age_quantile,mean_corpuscular_volume_mcv,0.07459
hemoglobin,albumin,0.07427
urea,indirect_bilirubin,0.07406
hematocrit,creatine_phosphokinase_cpk,0.07393
eosinophils,total_co2_arterial_blood_gas_analysis,0.07382
hemoglobin,eosinophils,0.07352
urea,international_normalized_ratio_inr,0.07332
red_blood_cell_distribution_width_rdw,alanine_transaminase,0.07322
basophils,creatinine,0.07308
neutrophils,creatinine,0.07306
mean_corpuscular_volume_mcv,phosphor,0.07283
po2_venous_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.07256
alanine_transaminase,indirect_bilirubin,0.07239
creatinine,potassium,0.07222
patient_addmited_to_semi_intensive_unit_1_yes_0_no,urine_ph,0.07218
magnesium,hco3_venous_blood_gas_analysis,0.07204
serum_glucose,creatinine,0.07199
magnesium,hco3_arterial_blood_gas_analysis,0.07197
red_blood_cell_distribution_width_rdw,pco2_venous_blood_gas_analysis,0.07175
mean_platelet_volume,creatine_phosphokinase_cpk,0.07154
hco3_venous_blood_gas_analysis,base_excess_arterial_blood_gas_analysis,0.07145
sodium,rods,0.07139
international_normalized_ratio_inr,lactic_dehydrogenase,0.07126
red_blood_cells,po2_arterial_blood_gas_analysis,0.07126
lymphocytes,monocytes,0.07066
hematocrit,ph_venous_blood_gas_analysis,0.07049
hematocrit,urine_density,0.07032
magnesium,total_co2_venous_blood_gas_analysis,0.06968
mean_corpuscular_volume_mcv,monocytes,0.06942
platelets,total_co2_arterial_blood_gas_analysis,0.06925
patient_age_quantile,patient_addmited_to_regular_ward_1_yes_0_no,0.06924
total_bilirubin,hco3_venous_blood_gas_analysis,0.06903
creatine_phosphokinase_cpk,base_excess_arterial_blood_gas_analysis,0.06873
lymphocytes,relationship_patient_normal,0.06873
red_blood_cells,monocytes,0.06869
patient_addmited_to_regular_ward_1_yes_0_no,ph_arterial_blood_gas_analysis,0.06860
total_co2_venous_blood_gas_analysis,base_excess_arterial_blood_gas_analysis,0.06837
eosinophils,ph_venous_blood_gas_analysis,0.06824
proteina_c_reativa_mg_dl,lipase_dosage,0.06797
patient_addmited_to_regular_ward_1_yes_0_no,lipase_dosage,0.06792
segmented,vitamin_b12,0.06785
magnesium,segmented,0.06784
urea,urine_ph,0.06760
eosinophils,international_normalized_ratio_inr,0.06748
hemoglobin,creatine_phosphokinase_cpk,0.06746
serum_glucose,urea,0.06742
patient_addmited_to_intensive_care_unit_1_yes_0_no,alkaline_phosphatase,0.06740
platelets,ionized_calcium,0.06717
red_blood_cell_distribution_width_rdw,ionized_calcium,0.06696
ph_venous_blood_gas_analysis,international_normalized_ratio_inr,0.06683
mean_corpuscular_hemoglobin_concentration_mchc,total_bilirubin,0.06679
leukocytes,gamma_glutamyltransferase,0.06670
magnesium,base_excess_venous_blood_gas_analysis,0.06669
serum_glucose,ph_venous_blood_gas_analysis,0.06647
leukocytes,lactic_dehydrogenase,0.06624
mean_corpuscular_hemoglobin_mch,segmented,0.06600
po2_venous_blood_gas_analysis,arterial_lactic_acid,0.06587
po2_venous_blood_gas_analysis,relationship_patient_normal,0.06573
patient_addmited_to_regular_ward_1_yes_0_no,ph_venous_blood_gas_analysis,0.06557
total_bilirubin,total_co2_venous_blood_gas_analysis,0.06542
serum_glucose,relationship_patient_normal,0.06526
urea,potassium,0.06513
hematocrit,eosinophils,0.06512
indirect_bilirubin,international_normalized_ratio_inr,0.06492
basophils,potassium,0.06484
patient_addmited_to_semi_intensive_unit_1_yes_0_no,neutrophils,0.06459
international_normalized_ratio_inr,arteiral_fio2,0.06450
urea,rods,0.06442
sodium,myelocytes,0.06433
patient_addmited_to_intensive_care_unit_1_yes_0_no,metamyelocytes,0.06425
ferritin,lipase_dosage,0.06334
serum_glucose,proteina_c_reativa_mg_dl,0.06279
hemoglobin,urine_density,0.06260
red_blood_cell_distribution_width_rdw,base_excess_venous_blood_gas_analysis,0.06257
serum_glucose,hco3_venous_blood_gas_analysis,0.06252
patient_age_quantile,red_blood_cell_distribution_width_rdw,0.06241
urine_density,arterial_lactic_acid,0.06237
platelets,sodium,0.06231
lactic_dehydrogenase,ph_arterial_blood_gas_analysis,0.06229
sodium,international_normalized_ratio_inr,0.06221
mean_corpuscular_hemoglobin_mch,direct_bilirubin,0.06188
mean_corpuscular_hemoglobin_mch,potassium,0.06179
red_blood_cell_distribution_width_rdw,indirect_bilirubin,0.06173
sodium,metamyelocytes,0.06166
patient_addmited_to_semi_intensive_unit_1_yes_0_no,total_co2_arterial_blood_gas_analysis,0.06157
mean_corpuscular_hemoglobin_concentration_mchc,relationship_patient_normal,0.06152
alkaline_phosphatase,international_normalized_ratio_inr,0.06097
red_blood_cells,albumin,0.06089
gamma_glutamyltransferase,indirect_bilirubin,0.06046
leukocytes,hco3_arterial_blood_gas_analysis,0.05995
neutrophils,rods,0.05986
creatinine,rods,0.05982
gamma_glutamyltransferase,lactic_dehydrogenase,0.05974
platelets,po2_venous_blood_gas_analysis,0.05937
eosinophils,creatinine,0.05897
urea,ferritin,0.05874
indirect_bilirubin,cto2_arterial_blood_gas_analysis,0.05860
mean_corpuscular_hemoglobin_concentration_mchc,monocytes,0.05857
hematocrit,phosphor,0.05851
creatinine,promyelocytes,0.05814
sodium,pco2_venous_blood_gas_analysis,0.05777
proteina_c_reativa_mg_dl,indirect_bilirubin,0.05773
mean_platelet_volume,international_normalized_ratio_inr,0.05734
mean_corpuscular_hemoglobin_concentration_mchc,aspartate_transaminase,0.05732
urea,alkaline_phosphatase,0.05730
po2_venous_blood_gas_analysis,metamyelocytes,0.05728
sodium,magnesium,0.05713
patient_addmited_to_regular_ward_1_yes_0_no,magnesium,0.05710
monocytes,lactic_dehydrogenase,0.05709
alkaline_phosphatase,cto2_arterial_blood_gas_analysis,0.05701
sodium,arterial_lactic_acid,0.05687
leukocytes,metamyelocytes,0.05675
metamyelocytes,urine_ph,0.05666
serum_glucose,total_co2_venous_blood_gas_analysis,0.05643
total_bilirubin,cto2_arterial_blood_gas_analysis,0.05602
leukocytes,urea,0.05566
ionized_calcium,relationship_patient_normal,0.05549
indirect_bilirubin,alkaline_phosphatase,0.05532
mean_platelet_volume,direct_bilirubin,0.05529
hb_saturation_venous_blood_gas_analysis,lipase_dosage,0.05524
neutrophils,lipase_dosage,0.05494
mean_platelet_volume,total_co2_arterial_blood_gas_analysis,0.05483
patient_addmited_to_intensive_care_unit_1_yes_0_no,sodium,0.05449
ionized_calcium,magnesium,0.05445
patient_age_quantile,mean_platelet_volume,0.05435
patient_age_quantile,pco2_venous_blood_gas_analysis,0.05432
potassium,urine_ph,0.05423
mean_platelet_volume,hco3_arterial_blood_gas_analysis,0.05414
red_blood_cells,sodium,0.05401
potassium,hb_saturation_arterial_blood_gases,0.05401
mean_corpuscular_hemoglobin_mch,eosinophils,0.05368
proteina_c_reativa_mg_dl,alkaline_phosphatase,0.05366
proteina_c_reativa_mg_dl,hb_saturation_venous_blood_gas_analysis,0.05317
hemoglobin,sodium,0.05305
urea,po2_venous_blood_gas_analysis,0.05299
vitamin_b12,ferritin,0.05286
patient_age_quantile,base_excess_arterial_blood_gas_analysis,0.05263
creatine_phosphokinase_cpk,pco2_arterial_blood_gas_analysis,0.05252
platelets,hco3_arterial_blood_gas_analysis,0.05244
hematocrit,po2_arterial_blood_gas_analysis,0.05243
basophils,hb_saturation_arterial_blood_gases,0.05242
mean_corpuscular_volume_mcv,direct_bilirubin,0.05238
segmented,creatine_phosphokinase_cpk,0.05209
aspartate_transaminase,vitamin_b12,0.05201
patient_addmited_to_semi_intensive_unit_1_yes_0_no,hco3_arterial_blood_gas_analysis,0.05185
hb_saturation_venous_blood_gas_analysis,relationship_patient_normal,0.05176
leukocytes,total_bilirubin,0.05165
ionized_calcium,lipase_dosage,0.05155
potassium,arterial_lactic_acid,0.05134
lactic_dehydrogenase,creatine_phosphokinase_cpk,0.05129
magnesium,total_co2_arterial_blood_gas_analysis,0.05128
patient_addmited_to_semi_intensive_unit_1_yes_0_no,international_normalized_ratio_inr,0.05123
proteina_c_reativa_mg_dl,base_excess_arterial_blood_gas_analysis,0.05104
alanine_transaminase,relationship_patient_normal,0.05086
neutrophils,aspartate_transaminase,0.05083
aspartate_transaminase,ferritin,0.05073
pco2_venous_blood_gas_analysis,hb_saturation_arterial_blood_gases,0.05072
monocytes,relationship_patient_normal,0.05072
basophils,ferritin,0.05071
leukocytes,direct_bilirubin,0.05054
patient_age_quantile,direct_bilirubin,0.05053
rods,urine_ph,0.05051
hb_saturation_venous_blood_gas_analysis,base_excess_arterial_blood_gas_analysis,0.05049
lymphocytes,albumin,0.04998
gamma_glutamyltransferase,rods,0.04994
po2_venous_blood_gas_analysis,rods,0.04990
platelets,albumin,0.04981
mean_platelet_volume,rods,0.04972
patient_age_quantile,ph_arterial_blood_gas_analysis,0.04961
mean_corpuscular_volume_mcv,urine_leukocytes,0.04951
eosinophils,ph_arterial_blood_gas_analysis,0.04936
monocytes,ph_venous_blood_gas_analysis,0.04914
eosinophils,metamyelocytes,0.04912
patient_addmited_to_intensive_care_unit_1_yes_0_no,indirect_bilirubin,0.04904
patient_age_quantile,mean_corpuscular_hemoglobin_mch,0.04901
serum_glucose,aspartate_transaminase,0.04859
mean_corpuscular_volume_mcv,ph_venous_blood_gas_analysis,0.04845
patient_addmited_to_intensive_care_unit_1_yes_0_no,neutrophils,0.04832
metamyelocytes,cto2_arterial_blood_gas_analysis,0.04825
segmented,ferritin,0.04796
neutrophils,phosphor,0.04774
proteina_c_reativa_mg_dl,ph_arterial_blood_gas_analysis,0.04773
mean_corpuscular_hemoglobin_concentration_mchc,creatinine,0.04758
basophils,alanine_transaminase,0.04750
mean_corpuscular_hemoglobin_mch,pco2_venous_blood_gas_analysis,0.04747
patient_addmited_to_regular_ward_1_yes_0_no,segmented,0.04692
direct_bilirubin,arteiral_fio2,0.04686
mean_platelet_volume,red_blood_cells,0.04673
platelets,hb_saturation_venous_blood_gas_analysis,0.04671
mean_platelet_volume,urine_red_blood_cells,0.04636
leukocytes,arterial_lactic_acid,0.04610
urea,pco2_venous_blood_gas_analysis,0.04608
rods,albumin,0.04580
red_blood_cells,indirect_bilirubin,0.04579
indirect_bilirubin,arterial_lactic_acid,0.04572
base_excess_venous_blood_gas_analysis,international_normalized_ratio_inr,0.04571
urea,aspartate_transaminase,0.04569
hematocrit,pco2_venous_blood_gas_analysis,0.04560
hb_saturation_venous_blood_gas_analysis,rods,0.04558
ph_venous_blood_gas_analysis,urine_ph,0.04556
international_normalized_ratio_inr,hb_saturation_arterial_blood_gases,0.04546
urine_ph,hb_saturation_arterial_blood_gases,0.04510
basophils,sodium,0.04497
hemoglobin,indirect_bilirubin,0.04481
potassium,urine_density,0.04470
sodium,base_excess_arterial_blood_gas_analysis,0.04455
hematocrit,potassium,0.04438
hb_saturation_venous_blood_gas_analysis,arterial_lactic_acid,0.04400
patient_addmited_to_intensive_care_unit_1_yes_0_no,lactic_dehydrogenase,0.04399
indirect_bilirubin,urine_leukocytes,0.04372
monocytes,po2_arterial_blood_gas_analysis,0.04368
arterial_lactic_acid,arteiral_fio2,0.04352
basophils,albumin,0.04316
patient_age_quantile,gamma_glutamyltransferase,0.04303
lymphocytes,alkaline_phosphatase,0.04301
lymphocytes,phosphor,0.04293
sodium,albumin,0.04279
total_bilirubin,urine_leukocytes,0.04256
mean_corpuscular_volume_mcv,promyelocytes,0.04256
patient_addmited_to_semi_intensive_unit_1_yes_0_no,gamma_glutamyltransferase,0.04252
magnesium,hb_saturation_venous_blood_gas_analysis,0.04243
leukocytes,aspartate_transaminase,0.04232
total_bilirubin,arterial_lactic_acid,0.04192
segmented,urine_ph,0.04191
platelets,urine_leukocytes,0.04184
patient_addmited_to_regular_ward_1_yes_0_no,hb_saturation_arterial_blood_gases,0.04182
eosinophils,hb_saturation_venous_blood_gas_analysis,0.04162
indirect_bilirubin,creatine_phosphokinase_cpk,0.04156
red_blood_cell_distribution_width_rdw,segmented,0.04148
magnesium,hb_saturation_arterial_blood_gases,0.04145
leukocytes,indirect_bilirubin,0.04140
leukocytes,vitamin_b12,0.04126
urine_ph,albumin,0.04125
mean_corpuscular_hemoglobin_concentration_mchc,eosinophils,0.04124
pco2_venous_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.04101
gamma_glutamyltransferase,lipase_dosage,0.04077
ph_venous_blood_gas_analysis,base_excess_arterial_blood_gas_analysis,0.04072
urea,ionized_calcium,0.04070
ph_venous_blood_gas_analysis,metamyelocytes,0.04060
creatine_phosphokinase_cpk,cto2_arterial_blood_gas_analysis,0.04059
mean_corpuscular_hemoglobin_concentration_mchc,alanine_transaminase,0.04045
mean_platelet_volume,monocytes,0.04036
metamyelocytes,ph_arterial_blood_gas_analysis,0.04035
ferritin,po2_arterial_blood_gas_analysis,0.04028
total_bilirubin,ph_venous_blood_gas_analysis,0.04017
neutrophils,pco2_venous_blood_gas_analysis,0.04008
basophils,base_excess_arterial_blood_gas_analysis,0.03997
urine_ph,lactic_dehydrogenase,0.03968
creatinine,cto2_arterial_blood_gas_analysis,0.03962
leukocytes,urine_ph,0.03947
patient_age_quantile,serum_glucose,0.03945
pco2_venous_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.03943
serum_glucose,segmented,0.03935
red_blood_cells,hco3_venous_blood_gas_analysis,0.03923
patient_addmited_to_intensive_care_unit_1_yes_0_no,phosphor,0.03896
patient_age_quantile,segmented,0.03894
hb_saturation_venous_blood_gas_analysis,metamyelocytes,0.03894
red_blood_cell_distribution_width_rdw,relationship_patient_normal,0.03884
mean_platelet_volume,arteiral_fio2,0.03883
leukocytes,alanine_transaminase,0.03879
lymphocytes,mean_corpuscular_hemoglobin_concentration_mchc,0.03877
indirect_bilirubin,rods,0.03876
hemoglobin,mean_corpuscular_volume_mcv,0.03844
eosinophils,mean_corpuscular_volume_mcv,0.03837
mean_corpuscular_volume_mcv,arterial_lactic_acid,0.03818
mean_corpuscular_hemoglobin_mch,cto2_arterial_blood_gas_analysis,0.03806
aspartate_transaminase,phosphor,0.03780
total_bilirubin,arteiral_fio2,0.03768
monocytes,myelocytes,0.03759
mean_corpuscular_volume_mcv,total_co2_arterial_blood_gas_analysis,0.03749
direct_bilirubin,cto2_arterial_blood_gas_analysis,0.03742
red_blood_cells,total_co2_venous_blood_gas_analysis,0.03741
patient_addmited_to_semi_intensive_unit_1_yes_0_no,rods,0.03738
urine_ph,po2_arterial_blood_gas_analysis,0.03713
pco2_venous_blood_gas_analysis,urine_red_blood_cells,0.03705
rods,total_co2_arterial_blood_gas_analysis,0.03704
po2_venous_blood_gas_analysis,base_excess_arterial_blood_gas_analysis,0.03698
mean_corpuscular_hemoglobin_mch,urine_leukocytes,0.03661
patient_addmited_to_regular_ward_1_yes_0_no,serum_glucose,0.03653
international_normalized_ratio_inr,creatine_phosphokinase_cpk,0.03648
monocytes,base_excess_venous_blood_gas_analysis,0.03632
magnesium,urine_ph,0.03609
lymphocytes,mean_corpuscular_hemoglobin_mch,0.03598
basophils,rods,0.03595
patient_addmited_to_regular_ward_1_yes_0_no,base_excess_venous_blood_gas_analysis,0.03559
monocytes,direct_bilirubin,0.03546
neutrophils,lactic_dehydrogenase,0.03524
alkaline_phosphatase,ionized_calcium,0.03512
sodium,vitamin_b12,0.03505
alanine_transaminase,metamyelocytes,0.03498
myelocytes,ph_arterial_blood_gas_analysis,0.03478
mean_corpuscular_hemoglobin_concentration_mchc,alkaline_phosphatase,0.03469
patient_addmited_to_intensive_care_unit_1_yes_0_no,base_excess_arterial_blood_gas_analysis,0.03464
patient_addmited_to_intensive_care_unit_1_yes_0_no,creatinine,0.03463
mean_corpuscular_hemoglobin_concentration_mchc,direct_bilirubin,0.03445
red_blood_cell_distribution_width_rdw,alkaline_phosphatase,0.03427
red_blood_cells,ph_venous_blood_gas_analysis,0.03408
neutrophils,base_excess_arterial_blood_gas_analysis,0.03405
total_bilirubin,creatine_phosphokinase_cpk,0.03404
gamma_glutamyltransferase,ionized_calcium,0.03403
urine_ph,ferritin,0.03393
creatinine,hb_saturation_arterial_blood_gases,0.03386
potassium,metamyelocytes,0.03382
mean_corpuscular_volume_mcv,metamyelocytes,0.03381
aspartate_transaminase,urine_ph,0.03370
hematocrit,segmented,0.03363
base_excess_arterial_blood_gas_analysis,po2_arterial_blood_gas_analysis,0.03360
platelets,lactic_dehydrogenase,0.03353
potassium,international_normalized_ratio_inr,0.03348
magnesium,myelocytes,0.03335
monocytes,international_normalized_ratio_inr,0.03315
rods,hco3_arterial_blood_gas_analysis,0.03312
eosinophils,pco2_venous_blood_gas_analysis,0.03306
metamyelocytes,arterial_lactic_acid,0.03304
urea,ph_arterial_blood_gas_analysis,0.03304
urine_ph,arteiral_fio2,0.03286
lymphocytes,promyelocytes,0.03279
patient_addmited_to_regular_ward_1_yes_0_no,base_excess_arterial_blood_gas_analysis,0.03269
eosinophils,magnesium,0.03268
segmented,po2_arterial_blood_gas_analysis,0.03239
patient_age_quantile,hematocrit,0.03228
red_blood_cells,eosinophils,0.03222
red_blood_cell_distribution_width_rdw,phosphor,0.03215
leukocytes,international_normalized_ratio_inr,0.03211
alkaline_phosphatase,vitamin_b12,0.03203
aspartate_transaminase,metamyelocytes,0.03171
mean_platelet_volume,pco2_arterial_blood_gas_analysis,0.03160
sodium,pco2_arterial_blood_gas_analysis,0.03149
patient_addmited_to_semi_intensive_unit_1_yes_0_no,aspartate_transaminase,0.03109
urine_red_blood_cells,international_normalized_ratio_inr,0.03108
base_excess_venous_blood_gas_analysis,metamyelocytes,0.03103
patient_addmited_to_semi_intensive_unit_1_yes_0_no,urine_leukocytes,0.03099
red_blood_cells,phosphor,0.03091
hemoglobin,potassium,0.03058
magnesium,promyelocytes,0.03057
red_blood_cells,base_excess_venous_blood_gas_analysis,0.03056
patient_addmited_to_semi_intensive_unit_1_yes_0_no,creatine_phosphokinase_cpk,0.03054
hemoglobin,segmented,0.03037
total_co2_venous_blood_gas_analysis,hb_saturation_arterial_blood_gases,0.03018
international_normalized_ratio_inr,lipase_dosage,0.03008
mean_platelet_volume,red_blood_cell_distribution_width_rdw,0.02995
mean_corpuscular_hemoglobin_mch,total_bilirubin,0.02990
promyelocytes,ferritin,0.02990
neutrophils,ph_arterial_blood_gas_analysis,0.02987
lymphocytes,pco2_venous_blood_gas_analysis,0.02970
monocytes,metamyelocytes,0.02956
red_blood_cell_distribution_width_rdw,rods,0.02949
direct_bilirubin,urine_leukocytes,0.02946
urea,lipase_dosage,0.02929
international_normalized_ratio_inr,total_co2_arterial_blood_gas_analysis,0.02927
patient_age_quantile,urine_red_blood_cells,0.02908
international_normalized_ratio_inr,hco3_arterial_blood_gas_analysis,0.02895
patient_addmited_to_regular_ward_1_yes_0_no,urine_leukocytes,0.02876
serum_glucose,alanine_transaminase,0.02866
patient_addmited_to_semi_intensive_unit_1_yes_0_no,direct_bilirubin,0.02843
pco2_venous_blood_gas_analysis,arterial_lactic_acid,0.02840
ionized_calcium,albumin,0.02838
hematocrit,indirect_bilirubin,0.02836
neutrophils,urea,0.02829
relationship_patient_normal,cto2_arterial_blood_gas_analysis,0.02829
mean_platelet_volume,lipase_dosage,0.02818
metamyelocytes,po2_arterial_blood_gas_analysis,0.02812
patient_age_quantile,basophils,0.02796
ph_venous_blood_gas_analysis,hco3_arterial_blood_gas_analysis,0.02786
mean_corpuscular_hemoglobin_concentration_mchc,basophils,0.02782
patient_addmited_to_semi_intensive_unit_1_yes_0_no,ferritin,0.02777
hb_saturation_venous_blood_gas_analysis,phosphor,0.02764
platelets,pco2_venous_blood_gas_analysis,0.02761
po2_venous_blood_gas_analysis,phosphor,0.02748
base_excess_venous_blood_gas_analysis,urine_red_blood_cells,0.02727
lymphocytes,total_co2_arterial_blood_gas_analysis,0.02725
indirect_bilirubin,pco2_arterial_blood_gas_analysis,0.02713
lymphocytes,urine_density,0.02710
pco2_venous_blood_gas_analysis,arteiral_fio2,0.02696
mean_corpuscular_volume_mcv,sodium,0.02692
red_blood_cell_distribution_width_rdw,hb_saturation_arterial_blood_gases,0.02678
hco3_venous_blood_gas_analysis,hb_saturation_arterial_blood_gases,0.02664
magnesium,lipase_dosage,0.02650
patient_age_quantile,urine_leukocytes,0.02611
patient_addmited_to_semi_intensive_unit_1_yes_0_no,arteiral_fio2,0.02608
serum_glucose,international_normalized_ratio_inr,0.02602
monocytes,hb_saturation_arterial_blood_gases,0.02592
aspartate_transaminase,hb_saturation_venous_blood_gas_analysis,0.02590
ferritin,ph_arterial_blood_gas_analysis,0.02587
hco3_venous_blood_gas_analysis,international_normalized_ratio_inr,0.02581
ionized_calcium,urine_density,0.02574
direct_bilirubin,arterial_lactic_acid,0.02562
urine_ph,ph_arterial_blood_gas_analysis,0.02556
creatinine,albumin,0.02553
neutrophils,creatine_phosphokinase_cpk,0.02509
patient_addmited_to_intensive_care_unit_1_yes_0_no,serum_glucose,0.02487
red_blood_cells,hb_saturation_venous_blood_gas_analysis,0.02476
leukocytes,creatine_phosphokinase_cpk,0.02476
proteina_c_reativa_mg_dl,vitamin_b12,0.02467
creatinine,po2_arterial_blood_gas_analysis,0.02459
pco2_venous_blood_gas_analysis,po2_arterial_blood_gas_analysis,0.02456
patient_age_quantile,ph_venous_blood_gas_analysis,0.02449
promyelocytes,cto2_arterial_blood_gas_analysis,0.02446
patient_age_quantile,total_bilirubin,0.02446
rods,pco2_arterial_blood_gas_analysis,0.02445
sodium,alanine_transaminase,0.02437
relationship_patient_normal,phosphor,0.02432
alanine_transaminase,phosphor,0.02422
myelocytes,po2_arterial_blood_gas_analysis,0.02399
serum_glucose,vitamin_b12,0.02381
ph_venous_blood_gas_analysis,total_co2_arterial_blood_gas_analysis,0.02379
promyelocytes,arterial_lactic_acid,0.02378
potassium,segmented,0.02374
red_blood_cells,hb_saturation_arterial_blood_gases,0.02364
patient_age_quantile,sodium,0.02315
aspartate_transaminase,creatine_phosphokinase_cpk,0.02308
alanine_transaminase,myelocytes,0.02302
alkaline_phosphatase,arterial_lactic_acid,0.02288
po2_venous_blood_gas_analysis,pco2_arterial_blood_gas_analysis,0.02286
total_bilirubin,rods,0.02285
potassium,rods,0.02277
proteina_c_reativa_mg_dl,urine_leukocytes,0.02256
monocytes,total_bilirubin,0.02253
patient_age_quantile,metamyelocytes,0.02236
indirect_bilirubin,arteiral_fio2,0.02234
hb_saturation_venous_blood_gas_analysis,pco2_arterial_blood_gas_analysis,0.02233
leukocytes,hb_saturation_arterial_blood_gases,0.02215
total_co2_venous_blood_gas_analysis,international_normalized_ratio_inr,0.02197
mean_platelet_volume,urine_ph,0.02188
neutrophils,international_normalized_ratio_inr,0.02181
urine_ph,cto2_arterial_blood_gas_analysis,0.02181
metamyelocytes,albumin,0.02174
hematocrit,mean_corpuscular_volume_mcv,0.02155
mean_corpuscular_volume_mcv,rods,0.02144
urea,hb_saturation_venous_blood_gas_analysis,0.02140
basophils,mean_corpuscular_hemoglobin_mch,0.02132
alkaline_phosphatase,magnesium,0.02117
platelets,red_blood_cell_distribution_width_rdw,0.02095
patient_age_quantile,neutrophils,0.02091
alkaline_phosphatase,pco2_arterial_blood_gas_analysis,0.02088
red_blood_cell_distribution_width_rdw,creatine_phosphokinase_cpk,0.02086
potassium,indirect_bilirubin,0.02067
hemoglobin,po2_arterial_blood_gas_analysis,0.02061
direct_bilirubin,phosphor,0.02060
eosinophils,urine_density,0.02048
base_excess_venous_blood_gas_analysis,ph_arterial_blood_gas_analysis,0.02046
patient_age_quantile,hemoglobin,0.02044
alanine_transaminase,cto2_arterial_blood_gas_analysis,0.02038
urine_density,pco2_arterial_blood_gas_analysis,0.02035
base_excess_venous_blood_gas_analysis,urine_ph,0.02029
mean_corpuscular_hemoglobin_mch,relationship_patient_normal,0.02023
patient_addmited_to_semi_intensive_unit_1_yes_0_no,total_bilirubin,0.02021
patient_addmited_to_semi_intensive_unit_1_yes_0_no,potassium,0.02016
patient_age_quantile,myelocytes,0.02011
hematocrit,arterial_lactic_acid,0.02007
ferritin,base_excess_arterial_blood_gas_analysis,0.01994
lymphocytes,mean_corpuscular_volume_mcv,0.01982
platelets,hb_saturation_arterial_blood_gases,0.01970
magnesium,po2_venous_blood_gas_analysis,0.01963
red_blood_cells,lipase_dosage,0.01959
patient_addmited_to_regular_ward_1_yes_0_no,cto2_arterial_blood_gas_analysis,0.01959
serum_glucose,ph_arterial_blood_gas_analysis,0.01953
alanine_transaminase,segmented,0.01945
creatinine,ph_arterial_blood_gas_analysis,0.01940
patient_addmited_to_regular_ward_1_yes_0_no,urea,0.01939
neutrophils,albumin,0.01926
pco2_venous_blood_gas_analysis,base_excess_arterial_blood_gas_analysis,0.01923
ph_venous_blood_gas_analysis,relationship_patient_normal,0.01919
creatinine,urine_leukocytes,0.01911
relationship_patient_normal,creatine_phosphokinase_cpk,0.01897
mean_corpuscular_volume_mcv,myelocytes,0.01896
urine_density,total_co2_arterial_blood_gas_analysis,0.01880
rods,ferritin,0.01858
gamma_glutamyltransferase,po2_arterial_blood_gas_analysis,0.01857
urea,urine_leukocytes,0.01842
alanine_transaminase,pco2_venous_blood_gas_analysis,0.01841
leukocytes,potassium,0.01829
mean_platelet_volume,potassium,0.01818
urea,arterial_lactic_acid,0.01810
myelocytes,base_excess_arterial_blood_gas_analysis,0.01806
basophils,gamma_glutamyltransferase,0.01803
patient_age_quantile,monocytes,0.01796
total_bilirubin,pco2_arterial_blood_gas_analysis,0.01791
myelocytes,hb_saturation_arterial_blood_gases,0.01789
alanine_transaminase,arterial_lactic_acid,0.01782
neutrophils,hco3_arterial_blood_gas_analysis,0.01779
creatinine,base_excess_arterial_blood_gas_analysis,0.01775
magnesium,ph_venous_blood_gas_analysis,0.01759
hco3_venous_blood_gas_analysis,myelocytes,0.01752
ph_venous_blood_gas_analysis,ph_arterial_blood_gas_analysis,0.01748
ionized_calcium,urine_red_blood_cells,0.01738
monocytes,rods,0.01736
patient_addmited_to_intensive_care_unit_1_yes_0_no,total_co2_venous_blood_gas_analysis,0.01731
hemoglobin,ionized_calcium,0.01717
red_blood_cell_distribution_width_rdw,potassium,0.01714
alkaline_phosphatase,creatine_phosphokinase_cpk,0.01705
indirect_bilirubin,albumin,0.01702
pco2_venous_blood_gas_analysis,ferritin,0.01702
patient_age_quantile,ferritin,0.01693
patient_age_quantile,proteina_c_reativa_mg_dl,0.01678
platelets,basophils,0.01678
mean_corpuscular_hemoglobin_mch,albumin,0.01674
potassium,myelocytes,0.01668
potassium,hb_saturation_venous_blood_gas_analysis,0.01664
promyelocytes,lipase_dosage,0.01647
magnesium,pco2_venous_blood_gas_analysis,0.01642
urine_density,hco3_arterial_blood_gas_analysis,0.01641
metamyelocytes,base_excess_arterial_blood_gas_analysis,0.01632
eosinophils,serum_glucose,0.01629
myelocytes,albumin,0.01596
total_bilirubin,phosphor,0.01595
alanine_transaminase,vitamin_b12,0.01590
red_blood_cell_distribution_width_rdw,international_normalized_ratio_inr,0.01590
pco2_venous_blood_gas_analysis,urine_density,0.01584
patient_age_quantile,patient_addmited_to_semi_intensive_unit_1_yes_0_no,0.01572
pco2_venous_blood_gas_analysis,creatine_phosphokinase_cpk,0.01568
basophils,ph_venous_blood_gas_analysis,0.01564
total_bilirubin,albumin,0.01549
urine_red_blood_cells,lipase_dosage,0.01548
potassium,phosphor,0.01544
mean_platelet_volume,metamyelocytes,0.01539
mean_corpuscular_hemoglobin_concentration_mchc,albumin,0.01534
rods,po2_arterial_blood_gas_analysis,0.01527
direct_bilirubin,creatine_phosphokinase_cpk,0.01519
urine_leukocytes,arteiral_fio2,0.01509
segmented,arterial_lactic_acid,0.01505
